isrun,idmachine,namemachine,nameeng,sizemachine,capacity,Power,point,model,nummachine,usejob,capability,manufacturer,machineinclude,genration,energy,create_date,create_by,update_date,update_by,division,machinegroupid,fis_refcode,out
58,KI1-EM-SWG-9003,ตู้สวิตเกียร์ 52KI-03 (รับจาก 52F-17 จ่าย TR-01 ขายไฟไลน์คง),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
59,KI1-EM-SWG-9004,ตู้สวิตเกียร์ 52KI-04 (รับจาก HV4 จ่าย TR-01 ขายไฟไลน์คง),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
60,KI1-EM-SWG-9005,ตู้สวิตเกียร์ 52KI-05  (รับจาก 52F-18 จ่าย TR-01 ขายไฟไลน์ห้วยแถลง),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
61,KI1-EM-SWG-9006,ตู้สวิตเกียร์ 52KI-06 (รับจาก HV24 จ่าย TR-01 ขายไฟไลน์ห้วยแถลง),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
62,KI1-EM-TRF-0001,หม้อแปลงซื้อ/ขายพลังงานไฟฟ้า ไลน์คง,Export Transformer to PEA No.1,329,260,199,ซื้อ/ขายพลังงานไฟฟ้า ลายคง,,24541,ซื้อ/ขายพลังงานไฟฟ้า ลายคง,,สหพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
63,KI1-EM-TRF-0002,หม้อแปลงซื้อ/ขายพลังงานไฟฟ้า ไลน์ห้วยแถลง,Export Transformer to PEA No.2,329,261,199,ซื้อ/ขายพลังงานไฟฟ้า ลายห้วยแถลง,,011716,ซื้อ/ขายพลังงานไฟฟ้า ลายห้วยแถลง,,เจริญชัย,,,,10/12/2020,Admin,,,20,327,,
64,KI1-EM-TRF-0003,หม้อแปลงจ่ายหม้อต้ม,Transformer for Evaporator,324,262,200,จ่ายหม้อต้ม,,211030931,จ่ายหม้อต้ม,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
65,KI1-EM-TRF-0004,หม้อแปลงจ่ายลูกหีบ,Transformer for Milling,326,263,200,จ่ายลูกหีบ,,970089,จ่ายลูกหีบ,,เจริญชัย,,,,10/12/2020,Admin,,,20,327,,
66,KI1-EM-TRF-0005,หม้อแปลงจ่ายหม้อต้มไอน้ำ,Transformer for Boiler,324,262,200,จ่ายหม้อต้มไอน้ำ,,77836,จ่ายหม้อต้มไอน้ำ,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
67,KI1-EM-TRF-0006,หม้อแปลงจ่ายหม้อปั่นA2 และ REFINE,Transformer for Centrifugal A2 & Refine,324,264,200,จ่ายหม้อปั่นA2 และ REFINE,,77509,จ่ายหม้อปั่นA2 และ REFINE,,ไทยพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
68,KI1-EM-TRF-0007,หม้อแปลงจ่ายหม้อปั่นA1,Transformer for Centrifugal A1,324,262,200,จ่ายหม้อปั่นA1,,211030928,จ่ายหม้อปั่นA1,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
69,KI1-EM-TRF-0008,หม้อแปลงจ่ายหม้อปั่นB,Transformer for Centrifugal B,324,265,200,หม้อปั่นB,,72917,หม้อปั่นB,,เจริญชัย,,,,10/12/2020,Admin,,,20,327,,
70,KI1-EM-TRF-0009,หม้อแปลงจ่ายหม้อปั่นR,Transformer for Centrifugal R,326,266,200,จ่ายหม้อปั่นR,,023523,จ่ายหม้อปั่นR,,เจริญชัย,,,,10/12/2020,Admin,,,20,327,,
71,KI1-EM-TRF-0010,หม้อแปลงจ่ายโหลดทั่วไปหน้าซ่อม SERVICE LINE,Transformer for Service Line,324,267,200,จ่ายโหลดทั่วไปหน้าซ่อม (Service Line),,56119682EE,จ่ายโหลดทั่วไปหน้าซ่อม (Service Line),,เอกรัฐ,,,,10/12/2020,Admin,,,20,327,,
72,KI1-EM-TRF-0011,หม้อแปลงจ่ายหม่อปั่นC,Transformer for Centrifugal C,324,268,200,จ่ายหม่อปั่นC,,410311,จ่ายหม่อปั่นC,,ANSI,,,,10/12/2020,Admin,,,20,327,,
